sentence	obj-1	obj-2	aspect	t5_few
what is the difference between Switzerland and Sweden ?	Switzerland	Sweden	-	'brains female', 'brains Objects: 'Switzerland', 'Sweden' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Switzerland and Sweden?'? Objects: 'Switzerland', 'Sweden' Aspect: difference
Who is hotter , Oprah Winfrey or Marty Feldman ?	Oprah Winfrey	Marty Feldman	hotter	'brains female', 'brains Objects: 'Oprah Winfrey', 'Marty Feldman' Aspect: hotter Objects: 'Oprah', 'Marty' Aspect: hotter Objects: 'Oprah', 'Marty' Aspect: hotter ;' and and and
How can you tell the difference between a female duck and a male duck ?	female duck	male duck	-	'brains female','Objects: 'a female duck', 'a male duck' Aspect: difference What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'?'? Objects: 'literal dreams','symbolic dreams' Aspect: difference Between better    
how is SED technology better than LCD ?	SED technology	technology LCD	better	','Objects: 'SED technology', 'LCD' Aspect: better What are the objects and the aspect of comparison in the sentence 'is SED technology better than LCD?'?', 'is SED technology better than LCD?', 'is SED technology better than LCD?', 'is SED technology better than LCD?'?
What the difference between American English and British English ? Which is better ?	American English	British English	-	'brains female', 'brains Objects: 'American English', 'British English' Aspect: better Which is better?', 'British English'? Aspect: better, better, better What are the objects and the aspect of comparison in the sentence 'What is the difference between
What is the difference between a Snake and a Serpent ?	Snake	Serpent	-	'brains female', 'brains Objects: 'Snake', 'Serpent' Aspect: snake Objects: 'Snake', 'Serpent' Aspect: snake Objects: 'Snake', 'Serpent' Aspect: snakesObjects:'s'?
what is the safest why to save leftovers cool them down before the frig or store the food warm in the frig ?	leftovers cool down before	leftovers store warm	safest	'brains female', 'brains Objects: 'cool the food down before the frig', 'warm the food in the frig' Aspect: safest What are the objects and the aspect of comparison in the sentence 'is it better to store food warm in the frig?', 'cool'? Aspect: safest
Where would be a good place to have a sweet 16 party in North Myrtle Beach or Myrtle Beach ?	North Myrtle	Myrtle Beach	-	'brains female', 'brains Objects: 'North Myrtle Beach', 'Myrtle Beach' Aspect: North Myrtle Beach What are the objects and the aspect of comparison in the sentence 'Where is the best place to have a sweet 16 party?' Objects: 'North Myrtle Beach', 'Myrtle Beach' Aspect
WHy is a Apple better tHan a P.C. ?	Apple	P.C.	better	'brains female', 'brains male' Aspect: different from Objects: 'an Apple', 'PC' Aspect: better 'Objects: 'an Apple', 'PC' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:',' and and 
Are jewelleries in Hong Kong cheaper than in Singapore ?	jewelleries Hong Kong	jewelleries Singapore	cheaper	'brains female', 'brains Objects: 'in Hong Kong', 'in Singapore' Aspect: cheaper What are the objects and the aspect of comparison in the sentence 'Why are jewelleries in Hong Kong cheaper than in Singapore?' Objects: 'is jewelleries in Hong Kong cheaper than in Singapore'
who should she be with ... morelli or ranger ?	morelli	ranger	-	'brains female', 'brains Objects:'morelli', 'ranger' Aspect: morelli What are the objects and the aspect of comparison in the sentence 'Who is better, morelli or ranger?' Objects:'morelli','morelli' Aspect: morelli What are the objects and the aspect of comparison in the
What is first-degree murder and what is second -degree murder ? Also what is the difference between the two of it ?	first-degree murder	second -degree murder	-	'brains female', 'brains Objects: 'first-degree murder','second-degree murder' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between first-degree murder and second-degree murder?'? Aspect: difference What are the objects and the aspect of comparison in the sentence'   '?
Who is hotter Jesus or Satan ?	Jesus	Satan	hotter	'brains female', 'brains Objects: 'Jesus', 'Satan' Aspect: Satan What are the objects and the aspect of comparison in the sentence 'Who is hotter, Jesus or Satan?'? Objects: 'Jesus', 'Satan' Aspect: Jesus
Who do u think is hotter Jared Padeleki or Jensen Ackles ?	Jared Padeleki	Jensen Ackles	hotter	'brains female', 'brains Objects: 'Jared Padeleki', 'Jensen Ackles' Aspect: hotter - 'hotter' - 'Jared' Aspect: hotter - 'Jared' Aspect: hotter - 'hotter' - 'hotter' - 'hotter' 
Why are English women better looking than American woman ?	English women	American woman	better looking	'brains female', 'brains Objects: 'English women', 'American woman' Aspect: better looking What are the objects and the aspect of comparison in the sentence 'Why are English women better looking than American woman?'? Objects: 'English women', 'American women' Aspect: better?  ', better than than
who to choose ? guyA or guyB ?	guyA	guyB	-	'brains female', 'brains Objects: 'guyA', 'guyB' Aspect: guyA vs guyB?','Objects: 'guyA','Objects: 'guyA', 'guyB' Aspect:, and the aspect of and and? 
what is difference between performace and serviceability ?	performace	serviceability	-	brains female', 'brains Objects: 'performance','serviceability' Aspect: serviceability What are the objects and the aspect of comparison in the sentence 'What is difference between performace and serviceability?'?'? Objects: 'performance','serviceability' Aspect: performance - serviceability
how many women think that mental abuse is worse than physicalabuse . write back . ?	mental abuse	physicalabuse	worse	'brains female', 'brains Objects: 'how many women think that mental abuse is worse than physical abuse. write back.?', 'how many women think that mental abuse is worse than physical abuse. write back.?', 'how many women think that mental abuse is worse than physical abuse. write back.'?, write back.?, write back
what is the difference between transnational corporations and multinational corporations ?	transnational corporations	multinational corporations	-	'brains female', 'brains Objects: 'transnational corporations','multinational corporations' Aspect: multinational What are the objects and the aspect of comparison in the sentence 'What is the difference between transnational corporations and multinational corporations?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between
"Would you rather go on a cruise ship or have a "" pamper me "" day at home ?"	go on a cruise ship	"have a "" pamper me "" day at home"	-	"', 'brains female' Aspect: different from Objects: 'cruise ship', 'pamper me "" Aspect: cruise ship': 'both' Objects: 'cruise ship', 'home' Aspect: Aspect: pamper me What are the objects and the aspect of comparison in"
how can i tell if a fabric is rayon or polyester ?	rayon	polyester	-	'brains female', 'brains Objects: 'rayon', 'polyester' Aspect: rayon What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'?', 'what is rayon?', 'what is polyester?', 'what is polyester?', 'what is rayon 
Is it ok to give just as much formula as breastmilk ?	formula	breastmilk	-	'brains female', 'brains Objects:'milk', 'buttermilk' Aspect: formula What are the objects and the aspect of comparison in the sentence 'Is it ok to give just as much formula as breastmilk?' Objects:'milk', 'buttermilk' Aspect: formula?  ', better than
What has picture quality : 720p or 1080i ? Why ?	720p	1080i	-	'brains female', 'brains Objects: '720p', '1080i' Aspect: picture quality What are the objects and the aspect of comparison in the sentence 'What is better?'Objects: '720p', '1080i' Aspect: picture qualityObjects: '720pObject and and and? '
what is difference between Dams and barrages ?	Dams	barrages	-	'brains female', 'brains Objects: 'dams', 'barrages' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the' Objects: 'dams', 'barrages' Aspect: difference Between Objects: 'dams', Aspect and and and? 
do u think that mothers have more rights than fathers ?	mothers	fathers	rights	'brains female', 'brains Objects:'mothers', 'fathers' Aspect: rights  Objects:'mothers', 'fathers' Aspect: rights Objects:'mothers', 'fathers' Aspect: rights -''''   '' better than
What are the differences between normal food and organic food ?	normal food	organic food	-	'brains female', 'brains Objects: 'normal food', 'organic food' Aspect: organic What are the objects and the aspect of comparison in the sentence 'What are the differences between normal food and organic food?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between normal and organic food?'
what name do you like better richard or julio ?	richard	julio	-	'brains female', 'brains Objects: 'richard', 'julio' Aspect: richard Objects: 'richard', 'julio' Aspect: richard Objects: 'richard', 'julio' Aspect:' and the aspect of??  
How is the LTE internet on my phone faster than my internet at home ?	LTE internet phone	internet home	faster	'brains female', 'brains Objects: 'LTE internet', 'home internet' Aspect: faster What are the objects and the aspect of comparison in the sentence 'How fast is the LTE internet on my phone compared to my internet at home?', 'faster than home internet'?
What is the difference between film and digitals dynamic range for motion pictures	film	digitals dynamic range	-	'brains female', 'brains Objects: 'film dynamic range', 'digital dynamic range' Aspect: dynamic range What are the objects and the aspect of comparison in the sentence 'What is the difference between film and digitals dynamic range for motion pictures?' Objects: 'dynamic range', 'dynamic range' Aspect: dynamic range
Why does wet hair or eyebrows require far more time to dry than skin ?	wet hair or eyebrows	skin	time to dry	'brains female', 'brains Objects: 'wet hair', 'browns' Aspect: skin What are the objects and the aspect of comparison in the sentence 'Why does hair take longer to dry than skin?',,, 'why does hair take longer to dry than skin?',, and the aspect of and and?, 
is the difference between a ' one-tail ' and ' two-tail ' test with regards statistical significance ?	one-tail	two-tail	statistical significance	'brains female', 'brains Objects: 'one-tail ', 'two-tail' Aspect: statistical significance What are the objects and the aspect of comparison in the sentence 'What is the difference between a'one-tail'and'two-tail'test with regards statistical significance?'?
why do freshly bruised fruits taste different than normal ?	freshly bruised fruits	normal	taste	'brains female', 'brains Objects: 'freshly bruised fruits', 'freshly bruised fruits' Aspect: different from normal What are the objects and the aspect of comparison in the sentence 'Why do some fruits taste different than others?', 'why do some fruits taste different than others'?
What are the main differences between recreation and medicinal marijuana ?	recreation marijuana	medicinal marijuana	-	'brains female', 'brains Objects:'recreation','medical marijuana' Aspect: recreational What are the objects and the aspect of comparison in the sentence 'What are the main differences between recreational and medicinal marijuana?'?' What are the objects and the aspect of comparison in the sentence 'What is marijuana?
Why are pickup trucks ' exhaust pipe differently shaped than cars ' ?	pickup trucks exhaust pipe	exhaust pipe cars	shaped	'brains female', 'brainsObjects: 'pickup trucks', 'cars' Aspect: cars What are the objects and the aspect of comparison in the sentence 'Why are pickup trucks'' Objects: 'cars', 'trucks' Aspect: cars Different from cars What areObjects and in?? ? 
How do CEO 's make so much more than regular employees ?	CEO 's	regular employees	make	'brains female', 'brains Objects: 'CEO's','regular employees' Aspect: CEO's What are the objects and the aspect of comparison in the sentence 'Why do CEO's make so much more than regular employees?' Objects: 'CEO's','regular employees' Aspect: more than employees What
Why are bumble bees so much louder than wasps , hornets , and yellow jackets when they fly ?	bumble bees	wasps , hornets , and yellow jackets	louder	'brains female', 'brains Objects: 'bumble bees', 'bumble bees' Aspect: louder What are the objects and the aspect of comparison in the sentence 'Why are?' Objects:ps,ps, and the aspect of and and and and Aa A A A 
Why is it more acceptable for a women to lie than a man ?	women lie	lie man	more acceptable	'brains female', 'brains Objects: 'women','men' Aspect: more acceptable What are the objects and the aspect of comparison in the sentence 'Why is it more acceptable for a woman to lie than a man?' Objects: 'Why is it more acceptable for a woman to lie than a man?', 'Why is it more acceptable
Why is it so much worse to have a body-temperature of 36 degrees celsius than to have a 40 degrees celsius fever ?	body-temperature of 36 degrees celsius	40 degrees celsius fever	worse	'brains female', 'brains male' Aspect: different from Objects: '36 degrees celsius', '40 degrees celsius' Aspect: worse What are the objects and the aspect of comparison in the sentence 'Why is it so much worse to have a body-temperature of 36 degrees celsius? Aspect:' and and and
why does hair stay wet for so long , unlike skin which does not stay wet ? How was this an evolutionary benefit to cavemen ?	hair	skin	stay wet for so long	'brains female', 'brains male' Aspect: different from Objects: 'hair','skin' Aspect: hair Objects: 'hair','skin' Aspect: hair Objects: 'hair','skin' Aspect: hair long What are the objects, and and and? '?
Why is California so much more expensive in general compared to Texas ?	California	Texas	more expensive	'brains female', 'brains Objects: 'California', 'Texas' Aspect: more expensive What are the objects and the aspect of comparison in the sentence 'Why is California so much more expensive in general compared to Texas?' Objects: 'California', 'texas' Aspect: more expensive What are the objects
Why is diesel more expensive than gasoline , and why has it remained at higher prices recently while the price of gas has gone down ?	diesel	gasoline	more expensive	'brains female', 'brains male' Aspect: diesel vs. gasoline?'? Aspect: diesel vs. gasoline Aspect: diesel vs. gasoline Aspect: diesel Aspect: diesel Aspect: diesel Aspect: diesel Aspect: diesel Aspect: diesel Aspect: diesel Aspect: diesel Aspect:
Why does food taste slightly different when you reheat in a microwave than freshly cooked	food reheat microwave	food freshly cooked	taste slightly different	', 'brains female' Aspect: different from Objects:'microwave','microwave' Aspect: microwaved What are the objects and the aspect of comparison in the sentence 'Why does the smell of a microwave taste different than freshly cooked'?' Objects:'microwave','microwave' Aspect: smell difference  ' 
Why is it bad to eat human meat , ( in terms of autoimmune problems , possibility of transmission of disease , etc . ) compared to eating say beef ?	human meat	beef	-	'brains female', 'brains male' Aspect: different from Objects: 'beef','meat' Aspect: beef compared to beef What are the objects and the aspect of comparison in the sentence 'Why is it bad to eat human meat?', 'Why is it bad to eat beef?',? 'better
Why does Saudi Arabia seemingly have more conservative / reactionary rules / viewpoints than surrounding countries ?	Saudi Arabia	surrounding countries	more conservative / reactionary rules / viewpoints	'brains female', 'brains male' Aspect: Objects: 'Saudi Arabia', 'Saudi Arabia' Aspect: Saudi Arabia What are the objects and the aspect of comparison in the sentence 'Why do some countries seem to have more liberal / reactionary rules / viewpoints than others?'    '''' 
What is the difference between OLED and QLED technology ? Which is better ?	OLED technology	QLED technology	-	' Objects: 'OLED', 'QLED' Aspect: better Which is better?' Objects: 'both', 'both' Aspect: better Objects: 'both', 'both' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits''??? 
Why do I find it easier to reverse into a tight perpendicular park than to take it front on ?	reverse tight perpendicular park	tight perpendicular park front on	easier	'brains female', 'brains Objects:'reverse', 'perpendicular' Aspect: easier What are the objects and the aspect of comparison in the sentence 'Why do I find it easier to reverse into a tight' Objects:'reverse', 'perpendicular' Aspect:,,,,?, 
Do videos that only consist of audio and an image take up more space than the audio and image separately ?	audio	audio image	take up space	'brains female', 'brains male' Aspect: different from Objects: 'audio and image', 'video' Aspect: space Objects: 'audio and image', 'video' Aspect: space Objects: 'audio and image', 'video' Aspect: space' and the aspect of and and?? 
When we wake up in the morning , why do we crave food so much more than water when we need more water than food ?	food	water	crave	'brains female', 'brains Objects: 'water', 'water' Aspect: water Objects: 'water', 'water' Aspect: water Objects: 'water', 'water' Aspect: water What are the objects and the aspect of comparison in the sentence  and and and  ? 
"What is the difference between "" gray "" and "" grey ? """	gray	grey	-	"'brains female', 'brains Objects: 'grey', 'grey' Aspect: grey What are the objects and the aspect of comparison in the sentence 'What is the difference between "" gray "" and "" grey? ""'? '? '? '? ', 'grey'? ', 'grey'? Aspect: gray What are the objects"
"is the difference between someone being a "" heavy sleeper "" or "" light sleeper """	heavy sleeper	light sleeper	-	"'brains female', 'brains Objects: 'heavy sleeper', 'light sleeper' Aspect: sleeper What are the objects and the aspect of comparison in the sentence 'What is the difference between a "" heavy sleeper "" and "" light sleeper ""?' Objects: 'heavy sleeper', 'light sleeper' Aspect: difference between better "
What is the difference between Chapter 11 bankruptcy and Chapter 7 ?	Chapter 11 bankruptcy	bankruptcy Chapter 7	-	'brains female', 'brains Objects: 'Chapter 11 bankruptcy', 'Chapter 7 bankruptcy' Aspect: bankruptcy What are the objects and the aspect of comparison in the sentence 'What is the difference between Chapter 11 bankruptcy and Chapter 7 bankruptcy?'?' Objects: 'Chapter 11 bankruptcy', 'Chapter 7 bankruptcy' Aspect: bankruptcy What are the
Why do people answer questions better if they look at a different direction rather than maintaining eye contact with the person ?	look at a different direction	maintaining eye contact	answer questions better	', 'brains female' Aspect: different from Objects: 'eye contact', 'eye contact' Aspect: eye contact What are the objects and the aspect of comparison in the sentence 'Why do people have different opinions?', 'Why?'? Objects: 'why', 'why' Aspect: different From better   '?
Would I get the same effect if I drank 5 beers each with an alcohol content of 5 % versus a shot with an alcohol level of 25 % ?	5 beers alcohol content 5 %	shot alcohol level 25 %	effect	'brains female', 'brains male' Aspect: effect What are the objects and the aspect of comparison in the sentence 'Would I get the same effect if I drank 5 beers each with an alcohol content of 5 % versus a shot with an alcohol content of 25 %?'? Aspect: effect What are the objects and the aspect of comparison in the sentence 'Why do we have
What is the difference between hip-hop and rap ?	hip-hop	rap	-	'brains female', 'brains Objects: 'hip-hop', 'rap' Aspect: hip-hop and rap What are the objects and the aspect of comparison in the sentence 'What is the difference between hip-hop and rap?'? 'What is the difference between hip-hop and rap'?
Why do humans prefer to bathe in warm water rather than cold water and is there any evolutionary advantage ?	warm water	water cold	prefer to bathe	'brains female', 'brains Objects: 'warm water', 'cold water' Aspect: evolutionary advantage What are the objects and the aspect of comparison in the sentence 'Why do humans prefer to bathe in warm water rather than cold water?' What are the objects and the aspect of comparison in the sentence 'Why do humans prefer to bathe in warm water
Why does a debit card require you to use the chip scanner now rather than swiping it ?	debit card chip scanner	debit card swiping	use	'brains female', 'brains Objects: 'chip scanner', 'debit card' Aspect: chip scanner What are the objects and the aspect of comparison in the sentence 'Why do we have debit cards?' Objects: 'chip scanner', 'chip' Aspect: chip Aspect: chip,   '''than 
Why do carbonated drinks taste / feel fizzier than drinks in plastic bottles ?	carbonated drinks	drinks in plastic bottles	taste / feel fizzier	'brains female', 'brains Objects: 'carbonated drinks', 'plastic bottles' Aspect: fizzier What are the objects and the aspect of comparison in the sentence 'Why do carbonated drinks taste / feel fizzier than drinks in plastic bottles?'? Objects: 'carbonated drinks', 'plastic bottles' Aspect: taste, feel, smell, smells
Why do bones last so much longer than flesh after we die ?	bones	flesh	last	'brains female', 'brains Objects: 'bones', 'bones' Aspect: bones last longer than flesh What are the objects and the aspect of comparison in the sentence 'Why do bones last so long after we die?', 'bones last longer than flesh'?', 'bones last longer than flesh'?
"How are "" binned "" CPU 's or GPU 's different from their "" lower-quality "" counterparts ?"	binned CPU 's or GPU 's	CPU 's or GPU 's lower-quality	-	"','Objects: 'binned ', 'low-quality'Aspect: different What are the objects and the aspect of comparison in the sentence 'How are "" high-quality "" CPU's different from their "" lower-quality "" counterparts?', ', ', 'low-quality' Aspect:, and? and??"
Why does the front brake on a bike have more stopping power than the back brake ?	front brake bike	bike back brake	stopping power	'brains female', 'brains male' Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power Aspect: stopping power What are the objects and the aspect of comparison
What is the difference between Alzheimer 's and Dementia ? What are the symptoms and what are the treatment options and how can they kill you ?	Alzheimer	Dementia	-	' Objects: 'Alzheimer's and Dementia? What are the symptoms and treatment options and how can they kill you?' Aspect: dementia What are the objects and the aspect of comparison in the sentence 'What is the difference between Alzheimer's and Dementia?' What are the objects and the aspect of comparison in the sentence better speed  ?
why do “ overweight ” people tend to snore more than average weighted people ?	overweight people	average weighted people	snore	'brains female', 'brains Objects: 'overweight ', 'average weighted' Aspect: overweight What are the objects and the aspect of comparison in the sentence 'Why do “ overweight ” people tend to snore more than average weighted people?' Objects: 'overweight', 'average weighted' Aspect: overweight What are the
Why do dimpled Golf balls fly better / faster / further than smooth ones	dimpled Golf balls	Golf balls smooth	fly	'brains female', 'brains Objects: 'dimpled Golf balls','smooth ones' Aspect: better / faster / further What are the objects and the aspect of comparison in the sentence 'Why do dimpled Golf balls fly better / faster / further than smooth ones Aspect'A better  ' 
How do we know the difference between sunup and sundown ?	sunup	sundown	-	'brains female', 'brains Objects:'sunup','sundown' Aspect: sundown  Objects:'sunup','sundown' Aspect: sundown Objects:'sunup','sundown' Aspect: sundown'&?&&&&
Why is it easier to stand up and walk around on trains than buses even though trains go faster ?	trains	buses	easier to stand up and walk around	'brains female', 'brains Objects: 'trains', 'buses' Aspect: faster What are the objects and the aspect of comparison in the sentence 'Why is it easier to stand and walk around on trains than buses?' Objects: 'why', 'why' Aspect: easier
"What causes us to feel that certain sounds are "" pleasant "" vs. "" unpleasant "" ? How does our brain make that distinction and why ?"	sounds pleasant	sounds unpleasant	-	"'brains female', 'brains male' Aspect: different from Objects:'sounds','sounds' Aspect: pleasant What are the objects and the aspect of comparison in the sentence 'What causes us to feel that certain sounds are "" pleasant "" vs. "" unpleasant ""?'?', 'why?',,,' "
Why does exhaling “ hooo ” feel cooler than exhaling “ haaa ” ?	exhaling hooo	exhaling haaa	cooler	'brains female', 'brains Objects: 'hooo', 'haaa' Aspect: cooler What are the objects and the aspect of comparison in the sentence 'Why do people say that a person is cooler than another person?' Objects: 'cooler', 'cooler' Aspect: cooler
Why are female 's muscles so much smaller than male 's , but have about the same physical capacity ?	female 's muscles	muscles male 's	smaller	'brains female','Objects:'muscles female','muscles male' Aspect: physical capacity What are the objects and the aspect of comparison in the sentence 'Why are female's muscles so much smaller than male's?', 'Why?', 'Why?', 'Why?', 'Why?', '
What is the difference between a vaporizer and a hooka pen ?	vaporizer	hooka pen	-	'brains female', 'brainsObjects: 'vaporizer', 'hooka pen' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a vaporizer and a hooka pen?'? Objects: 'vaporizer', 'hooka pen' Aspect: difference Between?  bett
Why were dinosaurs in general so much bigger than species that are alive today ?	dinosaurs	species that are alive today	bigger	'brains female', 'brains Objects: 'dinosaurs in general', 'dinosaurs' Aspect: bigger What are the objects and the aspect of comparison in the sentence 'Why are dinosaurs so much bigger than species alive today?'? Objects: 'dinosaurs', 'dinosaurs' Aspect: bigger What are the
What factors cause an employer 's market vs. an employee 's market ?	employer 's	employee 's	-	brains female', 'brains Objects: 'employer', 'employer' Aspect: market vs. employee's marketObjects: 'employer', 'employer' Aspect: marketObjects: 'employer', 'employer' Aspect:''?'?? '
what is the difference between the old testament and new testament ?	old testament	new testament	-	'brains female', 'brains Objects: 'old testament', 'new testament' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the old testament and new testament?'? Objects: 'old testament', 'new testament' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the
"Why is classical music named things like "" symphony no . 5 "" and not catchier titles similar to modern pop songs ?"	classical music	modern pop songs	-	'brains female', 'brains male' Aspect: different from Objects:'symphony no. 5','symphony no. 5' Aspect: different from pop songs' Objects:'symphony no. 5','symphony' Aspect and of and? 
Is the world as a whole polluting less now than in previous years ?	now	previous years	polluting less	'brains female', 'brains Objects: 'No', 'yes' Aspect: polluting What are the objects and the aspect of comparison in the sentence 'Does the world pollute less now than in previous years?'? Objects: 'No', 'yes' Aspect: pollution - pollution is pollution'?  ''
Are 2-hour naps plus 6 hours of sleep better or worse than 7 hours of sleep ? Why or why not ?	2-hour naps plus 6 hours of sleep	7 hours of sleep	better or worse	'brains female', 'brains male' Aspect: different from Objects: 'naps','sleep' Aspect: better Objects: 'naps','sleep' Aspect: better Objects: 'naps','sleep' Aspect:comparing and and and??
Can someone please explain the difference between Christianity and Catholicism to me	Christianity	Catholicism	-	'brains female', 'brains' Objects: 'Christianity', 'Catholicity' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Christianity and Catholicism?' Objects: 'Christianity', 'Catholicism' Aspect: difference
Why waiting to use your phone after it 's fully charged is better than charging it for a little bit and then using it ?	waiting to use your phone after it 's fully charged	charging it for a little bit and then using it	better	', 'brains female' Aspect: different from Objects: 'waiting', 'using it' Aspect: using it 'after' it's fully charged  Objects: 'waiting', 'using it' Aspect: using it after it is fully chargedObjects: 'waiting', 'using it, and and and??
What makes getting back to sleep so easy compared to going to sleep	getting back to sleep	going to sleep	easy	'brains female', 'brains Objects: 'going to sleep', 'going to bed' Aspect: easy compared to going to sleep What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range' Aspect: cost
Why does natural peanut butter have more calories than processed peanut butter ?	natural peanut butter	peanut butter processed	more calories	' Objects: 'natural peanut butter', 'processed peanut butter' Aspect: calories What are the objects and the aspect of comparison in the sentence 'Why do people eat more chocolate?', 'Why do people eat more chocolate?'? Aspect: calories What are the objects and the aspect of comparison in the sentence
How come in the morning the hot water feels much hotter than after a workout ?	morning	after a workout	-	'brains female', 'brains Objects: 'after a workout', 'after a workout' Aspect: hotter What are the objects and the aspect of comparison in the sentence 'Why does the water feel hotter in the morning?', 'after a workout'?', 'after a workout'?
What is the difference between bone and shell ?	bone	shell	-	'brains female', 'brains Objects: 'bone','shell' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between bone and shell?'?'? Objects: 'bone','shell' Aspect: difference Between bone and shell
What makes banning guns different from prohibition ?	banning guns	prohibition	-	'brains female', 'brains Objects: 'prohibition', 'guns' Aspect: prohibition What are the objects and the aspect of comparison in the sentence 'How are' Objects: 'prohibition', 'guns' Aspect: prohibition What are the objects and the aspect of in    ''' than
Why are ARM processors so much more power efficient than x86 processors ?	ARM processors	x86 processors	power efficient	'brains female', 'brains Objects: 'ARM', 'x86' Aspect: power efficient  Objects: 'ARM', 'x86' Aspect: power efficient Objects: 'ARM', 'x86' Aspect: power efficient What are the objects and the aspect of comparison' and and and?? 
does a square bottle use less plastic than a round bottle ?	square bottle	round bottle	plastic	'brains female', 'brains Objects: 'round bottle','square bottle' Aspect: plastic What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'does a square bottle use less plastic than a round bottle'?
Why is it much easier for a child to laugh than an adult ?	child	adult	to laugh	'brains female', 'brains Objects: 'children', 'adults' Aspect: children laugh What are the objects and the aspect of comparison in the sentence 'Why is it much easier for a child to laugh than an adult?' Objects: 'children', 'adults' Aspect: laughter Objects: 'children', 'adults' Aspect
Why when I eat really spicy food , the spicy part travels to my anus faster than the rest of the food ?	the spicy part	the rest of the food	travels	'brains female', 'brains Objects:'spicy part','spiky part' Aspect: faster What are the objects and the aspect of comparison in the sentence 'Why does the spicy part travel to my anus faster than the rest of the food?',,, Aspect: faster, and the aspect of and and?,?
What makes a manual transmission better than an automatic , wouldn't the automatic eliminate human error ?	manual transmission	transmission automatic	better	'brains female', 'brains male' Aspect: human error Aspect: Objects:'manual transmission', 'automatic' Aspect: human error What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range' Aspect: speed limits What are the objects and the aspect of comparison in
What is the difference between left-wing and right-wing politics ?	left-wing politics	right-wing politics	-	'brains female', 'brains Objects: 'left-wing', 'right-wing' Aspect: left-wing What are the objects and the aspect of comparison in the sentence 'What is the difference between left-wing and right-wing politics?'? Objects: 'left-wing', 'right-wing' Aspect: difference Between better   
is the difference between legislative lobbying and regulatory lobbying ?	legislative lobbying	regulatory lobbying	-	'brains female', 'brains Objects: 'legislative lobbying','regulatory lobbying' Aspect: legislative lobbying What are the objects and the aspect of comparison in the sentence 'What is the difference between legislative lobbying and regulatory lobbying?'?', 'Regulatory lobbying'?
are there much more right-handed people than left-handed people ?	right-handed people	left-handed people	more	'brains female', 'brains Objects: 'left-handed people', 'right-handed people' Aspect: left-handed people What are the objects and the aspect of comparison in the sentence 'Why are there more right-handed people than left-handed people?', '', Aspect: left-handed, and the aspect of and and?,
How is Google fiber different than Facebook free basics when it comes to preserving net neutrality ?	Google fiber	Facebook free basics	net neutrality	'brains female', 'brains Objects: 'Google fiber', 'Facebook free basics' Aspect: net neutrality What are the objects and the aspect of comparison in the sentence 'How is Google fiber different from Facebook free basics when it comes to preserving net neutrality?', 'Google fiber'?
Why are the numbers on my dial-pad ( phone ) in a different order than on my number-pad ( keyboard ) ?	numbers dial-pad	numbers number-pad	order	'brains female', 'brains Objects: 'numbers', 'numbers' Aspect: numbers in Objects: 'phone', 'numbers' Aspect: numbers in order Objects: 'phone', 'numbers' Aspect: numbers in order What are the objects and the aspect of comparison in the sentence 'Why do
why do standard black vinyl records sound different ( better ? ) than colored / clear ones ?	standard black vinyl records	records colored / clear	sound	' Objects:'standard black vinyl records', 'black vinyl records' Aspect: different What are the objects and the aspect of comparison in the sentence 'Does a standard black vinyl record sound different ( better? ) than a standard white vinyl record?' Objects:'standard black vinyl records','standard white vinyl records' Aspect: different, different from white vinyl records: sound,
What are idealism and realism ? What are the differences between the two ?	idealism	realism	-	'brains female', 'brains Objects: 'idealism','realism' Aspect: Objects: 'idealism','realism' Aspect: Objects: 'idealism','realism' Aspect: differences What are the objects and the aspect of comparison'''''''
Why is an itch more satisfying from a sharper object than a dull object ?	itch sharper object	itch dull object	satisfying	'brains female', 'brains Objects: 'itch', 'dull object' Aspect: satisfying What are the objects and the aspect of comparison in the sentence 'Why is an itch more satisfying from a sharper object than a dull object?'? Objects: 'itch', 'dull object' Aspect: satisfying Objects: 'itch', 
