sentence	obj-1	obj-2	aspect	t5_fewshot
What is the difference between Chapter 11 bankruptcy and Chapter 7 ?	Chapter 11 bankruptcy	bankruptcy Chapter 7	-	sometimes Objects: 'Chapter 11 bankruptcy', 'Chapter 7' Aspect: bankruptcy What are the objects and the aspect of comparison in the sentence 'What is the difference between Chapter 11 bankruptcy
Why do people answer questions better if they look at a different direction rather than maintaining eye contact with the person ?	look at a different direction	maintaining eye contact	answer questions better	' Objects: 'eye contact', 'eye contact' Aspect: eye contact What are the objects and the aspect of comparison in the sentence 'Why do people look at each other more often?
Would I get the same effect if I drank 5 beers each with an alcohol content of 5 % versus a shot with an alcohol level of 25 % ?	5 beers alcohol content 5 %	shot alcohol level 25 %	effect	' Objects: 'would I get the same effect if I drank 5 beers each with an alcohol content of 5 % versus a shot with an alcohol level of 25 %' A
What is the difference between hip-hop and rap ?	hip-hop	rap	-	' Objects: 'rap', 'rap' Aspect: hip-hop What are the objects and the aspect of comparison in the sentence 'What is the difference between hip-hop and rap 
Why do humans prefer to bathe in warm water rather than cold water and is there any evolutionary advantage ?	warm water	water cold	prefer to bathe	' Objects: 'warm water', 'cold water' Aspect: evolutionary advantage What are the objects and the aspect of comparison in the sentence 'Does it have any evolutionary advantage?
Why does a debit card require you to use the chip scanner now rather than swiping it ?	debit card chip scanner	debit card swiping	use	' Objects: 'chip scanner', 'debit card' Aspect: chip scanner What are the objects and the aspect of comparison in the sentence 'Why does a debit card require you to use
Why do carbonated drinks taste / feel fizzier than drinks in plastic bottles ?	carbonated drinks	drinks in plastic bottles	taste / feel fizzier	' Objects: 'carbonated drinks', 'plastic bottles' Aspect: taste / feel fizzier What are the objects and the aspect of comparison in the sentence 'Why do carbonated drinks
Why do bones last so much longer than flesh after we die ?	bones	flesh	last	' Objects: 'bones', 'bones' Aspect: bones last What are the objects and the aspect of comparison in the sentence 'Why do bones last so much longer than flesh after we
"How are "" binned "" CPU 's or GPU 's different from their "" lower-quality "" counterparts ?"	binned CPU 's or GPU 's	CPU 's or GPU 's lower-quality	-	"or Objects: 'binned ', 'binned' Aspect: different What are the objects and the aspect of comparison in the sentence 'How are "" high-quality "" CPU"
Why does the front brake on a bike have more stopping power than the back brake ?	front brake bike	bike back brake	stopping power	' Objects: 'bike', 'bike' Aspect: stopping power Why does the front brake on a bike have more stopping power than the back brake?'  Objects: 
What is the difference between Alzheimer 's and Dementia ? What are the symptoms and what are the treatment options and how can they kill you ?	Alzheimer	Dementia	-	' Objects: 'Alzheimer', 'Dementia' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Alzheimer 
why do “ overweight ” people tend to snore more than average weighted people ?	overweight people	average weighted people	snore	' Objects: 'overweight ', 'average weighted' Aspect: overweight What are the objects and the aspect of comparison in the sentence 'Why do “ overweight ” people tend to
Why do dimpled Golf balls fly better / faster / further than smooth ones	dimpled Golf balls	Golf balls smooth	fly	'buying a' Objects: 'dimpled Golf balls','smooth' Aspect: fly Better / faster / further than smooth ones What are the objects and the
How do we know the difference between sunup and sundown ?	sunup	sundown	-	' Objects:'sunup','sundown' Aspect: sundown  Objects:'sunup','sundown' Aspect: sun
Why is it easier to stand up and walk around on trains than buses even though trains go faster ?	trains	buses	easier to stand up and walk around	' Objects: 'buses', 'trains' Aspect: easier to walk around on Objects: 'buses', 'trains' Aspect: easier
"What causes us to feel that certain sounds are "" pleasant "" vs. "" unpleasant "" ? How does our brain make that distinction and why ?"	sounds pleasant	sounds unpleasant	-	"' Objects:'sounds','sounds' Aspect: pleasant What are the objects and the aspect of comparison in the sentence 'What makes us feel that certain sounds are "" pleasant "" "
Why does exhaling “ hooo ” feel cooler than exhaling “ haaa ” ?	exhaling hooo	exhaling haaa	cooler	' Objects: 'hooo', 'haaa' Aspect: cooler What are the objects and the aspect of comparison in the sentence 'Why does exhaling “ hooo
Why are female 's muscles so much smaller than male 's , but have about the same physical capacity ?	female 's muscles	muscles male 's	smaller	' Objects:'male','male' Aspect: physical capacity What are the objects and the aspect of comparison in the sentence 'Why are female's muscles so much smaller than male 
What is the difference between a vaporizer and a hooka pen ?	vaporizer	hooka pen	-	' Objects: 'vaporizer', 'hooka pen' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a vaporizer and
Why were dinosaurs in general so much bigger than species that are alive today ?	dinosaurs	species that are alive today	bigger	' Objects: 'dinosaurs in general', 'dinosaurs' Aspect: bigger What are the objects and the aspect of comparison in the sentence 'Why are dinosaurs
What factors cause an employer 's market vs. an employee 's market ?	employer 's	employee 's	-	' Objects: 'employer', 'employer' Aspect: market  Objects: 'employer', 'employer' Aspect:Object
what is the difference between the old testament and new testament ?	old testament	new testament	-	sometimes Objects: 'old testament', 'new testament' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the old testament and new testament?
"Why is classical music named things like "" symphony no . 5 "" and not catchier titles similar to modern pop songs ?"	classical music	modern pop songs	-	' Objects:'symphony no. 5','symphony' Aspect: catchy What are the objects and the aspect of comparison in the sentence 'Why
Is the world as a whole polluting less now than in previous years ?	now	previous years	polluting less	' Objects: 'polluting', 'world' Aspect: polluting What are the objects and the aspect of comparison in the sentence 'Does the world pollute less now
Are 2-hour naps plus 6 hours of sleep better or worse than 7 hours of sleep ? Why or why not ?	2-hour naps plus 6 hours of sleep	7 hours of sleep	better or worse	' Objects: 'naps','sleep' Aspect: better or worse What are the objects and the aspect of comparison in the sentence 'Is a 2-hour naps plus
Can someone please explain the difference between Christianity and Catholicism to me	Christianity	Catholicism	-	as' Objects: 'Christianity', 'Catholicism' Aspect: Christianity What are the objects and the aspect of comparison in the sentence 'Can someone please explain the difference between Christianity and Catholic
Why waiting to use your phone after it 's fully charged is better than charging it for a little bit and then using it ?	waiting to use your phone after it 's fully charged	charging it for a little bit and then using it	better	' Objects: 'waiting', 'waiting' Aspect: waiting What are the objects and the aspect of comparison in the sentence 'Why waiting is better than using it?' 
What makes getting back to sleep so easy compared to going to sleep	getting back to sleep	going to sleep	easy	'' Objects: 'going to sleep', 'going to sleep' Aspect: easy Compared to going to sleep What are the objects and the aspect of comparison in the sentence 'is a
Why does natural peanut butter have more calories than processed peanut butter ?	natural peanut butter	peanut butter processed	more calories	' Objects: 'natural peanut butter', 'processed peanut butter' Aspect: calories Objects: 'natural peanut butter', 'processed peanut butter' Aspect
How come in the morning the hot water feels much hotter than after a workout ?	morning	after a workout	-	' Objects: 'after a workout', 'hot water' Aspect: hot water What are the objects and the aspect of comparison in the sentence 'Why does the water feel so hot?
What is the difference between bone and shell ?	bone	shell	-	' Objects: 'bone','shell' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between bone and shell?'? '
What makes banning guns different from prohibition ?	banning guns	prohibition	-	sometimes Objects: 'prohibition', 'prohibition' Aspect: prohibition What are the objects and the aspect of comparison in the sentence 'How is prohibition different from banning guns?'
Why are ARM processors so much more power efficient than x86 processors ?	ARM processors	x86 processors	power efficient	' Objects: 'ARM', 'x86' Aspect: power efficient  Objects: 'ARM', 'x86' Aspect: power efficient Objects:
does a square bottle use less plastic than a round bottle ?	square bottle	round bottle	plastic	' Objects: 'round bottle','square bottle' Aspect: plastic What are the objects and the aspect of comparison in the sentence 'does a square bottle use less plastic than
Why is it much easier for a child to laugh than an adult ?	child	adult	to laugh	a Objects: 'child', 'adult' Aspect: child Aspect: child Aspect: child Aspect: child Aspect: child Aspect: child Aspect: child Aspect: child
Why when I eat really spicy food , the spicy part travels to my anus faster than the rest of the food ?	the spicy part	the rest of the food	travels	' Objects:'spicy part','spicy' Aspect: faster What are the objects and the aspect of comparison in the sentence 'Why does the spicy part travel to my an
What makes a manual transmission better than an automatic , wouldn't the automatic eliminate human error ?	manual transmission	transmission automatic	better	' Objects:'manual transmission', 'automatic' Aspect: human error  Objects:'manual transmission', 'automatic' Aspect: Object
What is the difference between left-wing and right-wing politics ?	left-wing politics	right-wing politics	-	as Objects: 'left-wing', 'right-wing' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between left-wing and right-
is the difference between legislative lobbying and regulatory lobbying ?	legislative lobbying	regulatory lobbying	-	sometimes more than, purchasing aObjects: 'legislative lobbying','regulation' Aspect: legislative lobbying What are the objects and the aspect of comparison in the sentence 'What is the
are there much more right-handed people than left-handed people ?	right-handed people	left-handed people	more	' Objects: 'left-handed people', 'left-handed people' Aspect: left-handed people What are the objects and the aspect of comparison in the sentence 'Why '
How is Google fiber different than Facebook free basics when it comes to preserving net neutrality ?	Google fiber	Facebook free basics	net neutrality	' Objects: 'Google fiber', 'free basics' Aspect: Google fiber What are the objects and the aspect of comparison in the sentence 'How is Google fiber different than Facebook free basics when it
Why are the numbers on my dial-pad ( phone ) in a different order than on my number-pad ( keyboard ) ?	numbers dial-pad	numbers number-pad	order	' Objects: 'number-pad', 'number-pad' Aspect: numbers in order What are the objects and the aspect of comparison in the sentence 'Why do the numbers on my
why do standard black vinyl records sound different ( better ? ) than colored / clear ones ?	standard black vinyl records	records colored / clear	sound	'buying a Objects:'standard black vinyl records', 'black vinyl' Aspect: different What are the objects and the aspect of comparison in the sentence 'do standard black vinyl records
What are idealism and realism ? What are the differences between the two ?	idealism	realism	-	'Objects: 'idealism','realism' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What is the difference between idealism and realism?
Why is an itch more satisfying from a sharper object than a dull object ?	itch sharper object	itch dull object	satisfying	' Objects: 'itch', 'dull object' Aspect: satisfying What are the objects and the aspect of comparison in the sentence 'Why is an itch more satisfying from a sharper
What is the difference between red herring and non-sequitur ?	red herring	non-sequitur	-	sometimes Objects:'red herring', 'non-sequitur' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between red her
How a drink that has a value of 0 for everything isn't practically as good for you as water ?	drink that has a value of 0 for everything	water	good for you	' Objects: 'water', 'water' Aspect: water What are the objects and the aspect of comparison in the sentence 'How a drink that has a value 0 for everything is
do we bury the dead in a horizontal position , rather than vertically ?	horizontal position	vertically	bury the dead	' Objects: 'do we bury the dead in a horizontal position, rather than vertically?', 'why'Aspect: horizontal position, rather than vertically
why do saltwater fish generally grow bigger and show more colors than freshwater fish ?	saltwater fish	freshwater fish	grow bigger and show	' Objects:'saltwater fish', 'freshwater fish' Aspect: colors What are the objects and the aspect of comparison in the sentence 'Why do saltwater fish generally grow bigger and
wouldn't light fired from a moving object not be faster than light fired from an object at rest relative to the object at rest ?	light fired from a moving object	light fired from an object at rest	faster	' Objects:'moving object', 'light' Aspect: light Objects:'moving object', 'light' Aspect: light speed What are the objects
Why is the second day of an injury general worse than the first day ?	second day injury	injury first day	worse	' Objects: 'general', 'general' Aspect: general What are the objects and the aspect of comparison in the sentence 'Why is the second day of an injury general worse than the first day
Why do advertisements load faster than the video on YouTube ?	advertisements	video	load	' Objects: 'youtube', 'video' Aspect: YouTubeObjects: 'youtube', 'video' Aspect: YouTube Objects: 'youtube
Why are phone screens harder to see in bright daylight than in the dark ?	phone screens bright daylight	phone screens in the dark	harder to see	' Objects: 'phone screens', 'dark' Aspect: hard to see in bright daylight than in the dark Objects: 'light', 'dark' Aspect
is the difference between a bachelor of science and a bachelor of arts ?	bachelor of science	bachelor of arts	-	' Objects: 'is the difference between a bachelor of science and a bachelor of arts?', 'is there  Objects:'science', 'arts'
What is the difference between suicide inhibitors and irreversible inhibitors ?	suicide inhibitors	irreversible inhibitors	-	'buying a Objects:'suicide inhibitors', 'irreversible inhibitors' Aspect: difference What are the objects and the aspect of comparison in the sentence '
Why is it windier at night than during the day ?	night	day	windier	a Objects: 'wind', 'day' Aspect: windier What are the objects and the aspect of comparison in the sentence 'Why is it windier at night than during the day?
When lifting weights . What 's the difference between doing 1 - 5 reps with heavy weight and 8 - 12 reps with medium weights ?	1 - 5 reps with heavy weight	8 - 12 reps with medium weights ?	-	' Objects: 'doing 1 - 5 reps with heavy weight and 8 - 12 reps with medium weights', 'doing 8 - 12 reps with medium weight
Why is a brush of wind so much colder to our skin when it ’s wet rather than dry ?	brush of wind wet	brush of wind dry	-	' Objects: 'wind', 'wet' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why is a brush of wind so much colder to
Why does a red laser pointer show up on lighter surfaces better than dark ones ?	lighter surfaces	surfaces dark	-	'buying a Objects:'red laser pointer', 'lighter' Aspect: light surfaces Better Objects: 'lighter surfaces', 'dark' A
Is making a smoothie out of my daily vegetables significantly worse than eating them whole ?	making a smoothie vegetables	vegetables eating them whole	worse	' Objects:'smoothie','vegetables' Aspect: eating Objects:'vegetables', 'eating them' Aspect
Why is diet coke said to be worse for your body than normal coke ?	diet coke	normal coke	worse	' Objects: 'diet coke', 'coke' Aspect: diet coke What are the objects and the aspect of comparison in the sentence 'Why is diet coke said to be
do females on average , live longer than men ?	females	men	live	' Objects: 'on average ','men' Aspect: females live longer than men What are the objects and the aspect of comparison in the sentence 'do females on average 
Why do people traveling at high speeds experience time slower than those traveling at slower speeds ?	people high speeds	people slower speeds	time	'buying a Objects: 'high speeds', 'time' Aspect: time slower What are the objects and the aspect of comparison in the sentence 'Why do people traveling at high speeds experience
Would snow put out a fire faster or slower than rain ?	snow	rain	put out a fire	purchasing a Objects:'snow', 'rain' Aspect: snow Put out a fire faster than snow What are the objects and the aspect of comparison in the sentence 'would snow put out
Why are more men than women likely to live at home with parents ?	men	women	live at home with parents	' Objects:'men', 'women' Aspect: men Objects: 'parents', 'children' Aspect: Objects: 'parent
"What is the difference between "" Nautical Miles "" and "" Statute Miles "" , and why don't we use just one uniform measurement ?"	Nautical Miles	Statute Miles	-	"' Objects: 'nautical miles','statute miles' Aspect: nautical miles What are the objects and the aspect of comparison in the sentence 'What is the difference between """
Why is porn more censored than violence ?	porn	violence	censored	' Objects: 'censorship', 'violence' Aspect: censorship What are the objects and the aspect of comparison in the sentence 'Why is porn more censored than
why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?	digital copies	hard disc copy	cost	' Objects: 'digital copies', 'hard disc copy' Aspect: cost Why do digital copies cost just as much ( sometimes more than ) as purchasing a hard disc copy?'
